Metric,Levene Statistic,Levene P-Value,Bartlett Statistic,Bartlett P-Value
faithfulness,6.640776699029128,0.013973999704566043,1.1309086068077023,0.28758161439292457
answer_correctness,1.7924234271238644,0.18858584359033226,1.2580178734290548,0.262026613816271
context_recall,0.35403726708075123,0.5553634991749838,0.004382251295843694,0.9472197314907611
context_precision,0.5501316104331179,0.462823681572057,0.11630324495535385,0.7330790282076376
answer_relevancy,4.657000770094076,0.03731145655889909,4.4473415865862576,0.03495562195838191
ROUGE-1,0.2862841276785852,0.5957290935502815,0.29042303804887815,0.5899495650374108
ROUGE-2,0.2801335197366189,0.5996922692106292,0.3648932566215698,0.5458011255572575
ROUGE-L,0.16486185029803116,0.6869966767965254,0.27643963185558434,0.5990443606772999
BLEU,13.19245051024163,0.0008268781338695475,13.427357963490184,0.00024798111976400024
