Metric,T-test Statistic,T-test P-value,Mann-Whitney U Statistic,Mann-Whitney U P-value
faithfulness,-1.2768997042215107,0.209385467875994,164.5,0.24981744183594812
answer_correctness,-0.7598419744645496,0.4520376028539562,157.5,0.25589084987527044
context_recall,-0.3121472367904242,0.7566350664967469,190.0,0.7641527716279976
context_precision,0.36971698295049227,0.7136458929239948,210.0,0.7224514972359954
answer_relevancy,-0.9424892827031529,0.35189591414766386,187.5,0.7453446114386557
ROUGE-1,-0.8830994145908441,0.3827354178469262,169.5,0.40102718340808086
ROUGE-2,-0.23189508661488525,0.8178638016508886,197.0,0.9366623660670819
ROUGE-L,-0.8301299808039138,0.411650380639517,171.5,0.4331561442620214
BLEU,1.4287599534856177,0.16124222710431485,215.0,0.6285164505762211
