Metric,Welch t-test Statistic,Welch t-test P-value,Mann-Whitney U Statistic,Mann-Whitney U P-value,Levene Statistic,Levene P-value,Kolmogorov-Smirnov Statistic,Kolmogorov-Smirnov P-value
faithfulness,-1.276899704221511,0.2098411520009192,164.5,0.24981744183594812,1.6304728546409804,0.209385467875995,0.2,0.8319696107963263
answer_correctness,-0.7598419744645496,0.4523438302251692,157.5,0.25589084987527044,0.5001861030384827,0.48373331494793304,0.25,0.571336004933722
context_recall,-0.3121472367904242,0.7566354688686772,190.0,0.7641527716279976,0.09743589743589735,0.7566350664967445,0.05,0.9999999999999998
context_precision,0.36971698295049227,0.7136586968805865,210.0,0.7224514972359954,0.1366906474820143,0.7136458929239979,0.05,0.9999999999999998
answer_relevancy,-0.9424892827031531,0.3531574349308505,187.5,0.7453446114386557,1.3556882062717177,0.2515442936411099,0.2,0.8319696107963263
ROUGE-1,-0.8830994145908442,0.3828213122795425,169.5,0.40102718340808086,0.5135331126478073,0.4779948731523279,0.2,0.8319696107963263
ROUGE-2,-0.23189508661488525,0.8178879969102475,197.0,0.9366623660670819,0.05377533119612513,0.8178638016508826,0.1,0.9999923931635496
ROUGE-L,-0.8301299808039139,0.41172677540175573,171.5,0.4331561442620214,0.3948943591618317,0.533496964008181,0.2,0.8319696107963263
BLEU,1.4287599534856177,0.16541573801566234,215.0,0.6285164505762211,2.0413550046842244,0.1612422271043143,0.25,0.571336004933722
